Species,Site_1,Site_2,Site_3,Site_4,Site_5,Site_6,Site_7,Site_8,Site_9,,Species,Plantation,Open Heathland,Ancient Caledonian,,,,P1,P2,P3,,O1,O2,O3,,C1,C2,C3,,,Plantation,Open,Cale
Emberiza citrinella_Yellowhammer,0,0,0,0,0,0,0,0,0,,Emberiza citrinella_Yellowhammer,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Emberiza schoeniclus_Reed Bunting,0,1,0,0,0,0,0,0,0,,Emberiza schoeniclus_Reed Bunting,,,,,,,0,0,0,,1,0,0,,0,0,0,,,0,1,0
Erithacus rubecula_European Robin,1,1,1,0,1,1,1,1,1,,Erithacus rubecula_European Robin,,,,,,,1,1,1,,1,1,0,,1,1,1,,,1,1,1
Falco columbarius_Merlin,0,0,0,0,0,0,0,0,0,,Falco columbarius_Merlin,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Falco peregrinus_Peregrine Falcon,0,0,0,0,0,0,0,0,0,,Falco peregrinus_Peregrine Falcon,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Falco tinnunculus_Eurasian Kestrel,0,0,0,0,0,0,0,0,0,,Falco tinnunculus_Eurasian Kestrel,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Ficedula hypoleuca_European Pied Flycatcher,0,0,0,0,0,0,0,0,0,,Ficedula hypoleuca_European Pied Flycatcher,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Fratercula arctica_Atlantic Puffin,0,0,0,0,0,0,0,0,0,,Fratercula arctica_Atlantic Puffin,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Fringilla coelebs_Common Chaffinch,1,0,0,0,0,1,1,0,1,,Fringilla coelebs_Common Chaffinch,,,,,,,1,0,1,,0,0,0,,1,0,1,,,1,0,1
Fringilla montifringilla_Brambling,0,0,0,0,0,0,0,0,0,,Fringilla montifringilla_Brambling,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Fulica atra_Eurasian Coot,0,0,0,0,0,0,0,0,0,,Fulica atra_Eurasian Coot,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Fulmarus glacialis_Northern Fulmar,0,0,0,0,0,0,0,0,0,,Fulmarus glacialis_Northern Fulmar,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
Gallinago gallinago_Common Snipe,0,0,0,0,0,0,0,0,0,,Gallinago gallinago_Common Snipe,,,,,,,0,0,0,,0,0,0,,0,0,0,,,0,0,0
